[2024-10-17 19:58:41,015: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:58:41,017: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:58:41,020: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:58:41,021: INFO: common: created directory at: artifacts]
[2024-10-17 19:58:41,021: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 19:58:41,031: INFO: 1725792293: (True, 'artifacts/data_validation/status.txt')]
[2024-10-17 19:58:41,032: INFO: 1298441739: True]
[2024-10-18 17:37:46,802: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:37:46,804: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<<]
[2024-10-18 17:37:46,805: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:37:46,806: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-18 17:37:46,807: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-18 17:37:46,807: INFO: common: created directory at: artifacts]
[2024-10-18 17:37:47,777: INFO: data_ingestion: File downloaded and saved as artifacts/data_ingestion/data.zip!]
[2024-10-18 17:37:47,783: INFO: main: >>>>>>> Stage Data Ingestion Stage completed  <<<<<<<<]
[2024-10-18 17:37:47,783: INFO: main: >>>>>>> Stage Data Validation Stage started <<<<<<<<]
[2024-10-18 17:37:47,786: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:37:47,786: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-18 17:37:47,789: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-18 17:37:47,790: INFO: common: created directory at: artifacts]
[2024-10-18 17:37:47,790: INFO: common: created directory at: artifacts/data_validation]
[2024-10-18 17:37:47,798: INFO: data_validation: (True, 'artifacts/data_validation/status.txt')]
[2024-10-18 17:37:47,798: INFO: main: >>>>>>> Stage Data Validation Stage completed <<<<<<<<]
[2024-10-18 17:37:47,798: INFO: main: >>>>>>> Stage Data Transformation Stage started <<<<<<<<]
[2024-10-18 17:37:47,798: INFO: main: >>>>>>> Stage Data Transformation Stage completed <<<<<<<<]
[2024-10-18 17:42:00,189: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:42:00,191: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-18 17:42:00,192: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-18 17:42:00,193: INFO: common: created directory at: artifacts]
[2024-10-18 17:42:00,193: INFO: common: created directory at: artifacts/data_transformation]
[2024-10-18 17:47:03,383: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:47:03,384: INFO: main: >>>>>>> Stage Data Ingestion Stage started <<<<<<<<]
[2024-10-18 17:47:03,384: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:47:03,385: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-18 17:47:03,386: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-18 17:47:03,386: INFO: common: created directory at: artifacts]
[2024-10-18 17:47:04,390: INFO: data_ingestion: File downloaded and saved as artifacts/data_ingestion/data.zip!]
[2024-10-18 17:47:04,396: INFO: main: >>>>>>> Stage Data Ingestion Stage completed  <<<<<<<<]
[2024-10-18 17:47:04,396: INFO: main: >>>>>>> Stage Data Validation Stage started <<<<<<<<]
[2024-10-18 17:47:04,399: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-18 17:47:04,399: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-18 17:47:04,402: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-18 17:47:04,402: INFO: common: created directory at: artifacts]
[2024-10-18 17:47:04,403: INFO: common: created directory at: artifacts/data_validation]
[2024-10-18 17:47:04,410: INFO: data_validation: (True, 'artifacts/data_validation/status.txt')]
[2024-10-18 17:47:04,411: INFO: main: >>>>>>> Stage Data Validation Stage completed <<<<<<<<]
[2024-10-18 17:47:04,411: INFO: main: >>>>>>> Stage Data Transformation Stage started <<<<<<<<]
